SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
ACC,1738.0,1746.35,1653.25,1694.85,22-JAN-2021
AUBANK,921.0,930.25,880.0,896.6,22-JAN-2021
AARTIIND,1257.0,1258.95,1132.5,1143.25,22-JAN-2021
ABBOTINDIA,15074.0,15074.0,14325.0,14399.9,22-JAN-2021
ADANIENT,528.0,552.95,502.05,526.8,22-JAN-2021
ADANIGREEN,945.0,1065.45,920.1,1047.85,22-JAN-2021
ADANIPORTS,531.0,562.5,503.8,535.8,22-JAN-2021
ATGL,362.0,365.6,341.0,363.6,22-JAN-2021
ADANITRANS,433.4,486.0,397.15,477.2,22-JAN-2021
ABCAPITAL,93.6,93.65,85.55,86.5,22-JAN-2021
ABFRL,176.0,194.8,169.25,171.55,22-JAN-2021
AJANTPHARM,1748.0,1816.8,1700.0,1721.15,22-JAN-2021
APLLTD,1090.0,1096.95,930.5,939.95,22-JAN-2021
ALKEM,3080.0,3129.25,2986.0,3034.9,22-JAN-2021
AMARAJABAT,1000.0,1009.2,964.05,979.15,22-JAN-2021
AMBUJACEM,264.1,265.35,248.0,257.7,22-JAN-2021
APOLLOHOSP,2599.5,2685.0,2547.05,2597.9,22-JAN-2021
APOLLOTYRE,183.9,237.5,174.5,231.9,22-JAN-2021
ASHOKLEY,119.0,127.25,112.65,122.25,22-JAN-2021
ASIANPAINT,2592.0,2816.95,2555.4,2596.65,22-JAN-2021
AUROPHARMA,933.8,948.0,880.15,923.8,22-JAN-2021
DMART,2800.0,2899.0,2701.0,2862.75,22-JAN-2021
AXISBANK,674.45,695.0,638.8,644.5,22-JAN-2021
BAJAJ-AUTO,3552.0,4130.0,3505.0,4089.5,22-JAN-2021
BAJFINANCE,4870.0,5225.0,4686.0,4972.55,22-JAN-2021
BAJAJFINSV,8636.1,9388.85,8273.7,9071.0,22-JAN-2021
BAJAJHLDNG,3207.9,3299.6,3120.05,3283.45,22-JAN-2021
BALKRISIND,1651.0,1767.7,1585.25,1678.5,22-JAN-2021
BANDHANBNK,367.6,372.55,311.85,314.1,22-JAN-2021
BANKBARODA,75.45,80.8,72.05,73.35,22-JAN-2021
BANKINDIA,53.95,54.9,50.7,51.0,22-JAN-2021
BATAINDIA,1601.0,1650.0,1548.5,1567.85,22-JAN-2021
BERGEPAINT,772.4,822.95,764.15,773.4,22-JAN-2021
BEL,133.85,138.95,128.3,132.35,22-JAN-2021
BHARATFORG,612.55,644.5,579.25,629.4,22-JAN-2021
BHEL,39.4,41.25,37.1,37.65,22-JAN-2021
BPCL,414.0,423.0,394.95,396.05,22-JAN-2021
BHARTIARTL,602.65,604.05,572.75,576.85,22-JAN-2021
BIOCON,456.0,459.35,376.3,393.75,22-JAN-2021
BBTC,1282.05,1298.7,1240.0,1242.8,22-JAN-2021
BOSCHLTD,14760.0,16550.0,14413.0,15670.65,22-JAN-2021
BRITANNIA,3609.05,3690.0,3575.0,3608.0,22-JAN-2021
CESC,699.0,731.0,660.0,662.3,22-JAN-2021
CADILAHC,485.0,489.8,455.3,460.5,22-JAN-2021
CANBK,138.7,145.0,131.0,133.2,22-JAN-2021
CASTROLIND,129.7,129.95,124.65,128.05,22-JAN-2021
CHOLAFIN,426.65,464.85,402.55,422.15,22-JAN-2021
